model_name,failure_profile,start_time,end_time,failure_interval,failure_type,solution_method,is_fixable
*.Models.Model.Assembly1,FailureA,5:31:16.0644,5:58:59.8363,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,6:00:21.3625,6:22:16.6670,1:16:35.4356,2,1,0
*.Models.Model.Assembly1,FailureA,6:01:43.8314,6:58:55.3591,1:00:00.0000,2,2,0
*.Models.Model.Assembly3,FailureA,7:28:16.9950,8:16:22.8130,36:01.4968,2,1,0
*.Models.Model.Assembly3,FailureA,8:52:37.3452,9:08:39.0171,1:04.4022,1,2,0
*.Models.Model.Assembly3,FailureA,9:09:45.0465,9:47:58.1031,2:09:30.8702,1,5,0
*.Models.Model.Assembly1,FailureA,10:07:11.3045,10:28:55.2738,1:00:00.0000,1,4,0
*.Models.Model.Assembly4,FailureA,10:40:56.7310,11:06:58.1241,14:53.4160,1,5,0
*.Models.Model.Assembly4,FailureA,11:21:59.6758,11:56:16.3331,8:39.6404,1,2,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,4,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,1,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,1,3,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,4,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,2,4,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,2,3,0
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,2,2,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,2,2,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,2,4,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,6,1
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,1,6,1
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,2,5,0
*.Models.Model.Assembly4,FailureA,11:45:23.2405,12:31:31.0975,14:14.6077,2,1,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,5,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,1,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,6,1
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,2,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,2,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,2,1,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,2,2,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,2,5,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,2,5,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,1,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,4,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,1,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,4,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,4,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,3,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,2,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,2,5,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,1,4,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,1,5,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,1,3,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,2,5,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,4,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,2,0
*.Models.Model.Assembly4,FailureA,11:45:23.2405,12:31:31.0975,14:14.6077,1,5,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,4,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,5,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,3,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,3,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,1,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,2,3,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,2,3,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,2,1,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,1,2,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,5,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,1,5,0
*.Models.Model.Assembly4,,11:11:06.2571,0.0000,14:53.4160,2,4,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,6,1
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,4,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,5,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,4,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,1,6,1
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,2,1,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,1,2,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,4,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,4,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,1,0
*.Models.Model.Assembly4,,11:45:23.2405,0.0000,8:39.6404,1,1,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,1,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,6,1
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,1,1,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,2,2,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,2,1,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,2,2,0
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,2,2,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,2,4,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,2,4,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,3,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,4,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,2,2,0
*.Models.Model.Assembly4,FailureA,11:45:23.2405,12:31:31.0975,14:14.6077,1,3,0
*.Models.Model.Assembly4,FailureA,12:45:59.5346,13:04:16.4990,46:07.7704,2,4,0
*.Models.Model.Assembly3,FailureA,13:14:17.6260,13:30:43.3086,1:07:14.7619,2,1,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,6,1
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,3,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,1,2,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,4,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,1,6,1
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,6,1
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,1,5,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,2,3,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,3,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,1,3,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,2,3,0
*.Models.Model.Assembly4,,11:45:23.2405,0.0000,8:39.6404,1,3,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,2,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,6,1
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,1,1,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,2,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,1,5,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,6,1
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,1,5,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,1,6,1
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,2,0
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,3,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,4,0
*.Models.Model.Assembly4,FailureA,11:45:23.2405,12:31:31.0975,14:14.6077,1,4,0
*.Models.Model.Assembly4,FailureA,12:45:59.5346,13:04:16.4990,46:07.7704,1,1,0
*.Models.Model.Assembly3,FailureA,13:14:17.6260,13:30:43.3086,1:07:14.7619,2,3,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,2,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,1,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,3,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,2,2,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,2,5,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,1,5,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,1,3,0
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,1,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,1,2,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,2,5,0
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,6,1
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,1,6,1
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,3,0
*.Models.Model.Assembly4,,11:45:23.2405,0.0000,8:39.6404,1,6,1
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,2,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,1,1,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,3,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,4:25:33.2003,1:06:25.4133,1,5,0
*.Models.Model.Assembly4,FailureA,5:11:51.5530,5:36:26.6369,29:04.0697,1,4,0
*.Models.Model.Assembly1,FailureA,5:17:21.5553,6:04:10.4089,1:00:00.0000,2,2,0
*.Models.Model.Assembly4,FailureA,6:06:12.2967,6:28:07.6013,1:16:35.4356,2,2,0
*.Models.Model.Assembly1,FailureA,6:06:54.4039,7:04:46.2934,1:00:00.0000,1,4,0
*.Models.Model.Assembly3,FailureA,7:38:33.3251,8:28:08.6052,36:01.4968,1,5,0
*.Models.Model.Assembly3,FailureA,9:04:26.7247,9:20:28.3967,1:04.4022,1,6,1
*.Models.Model.Assembly3,FailureA,9:21:32.7989,9:59:45.8555,2:09:30.8702,1,6,1
*.Models.Model.Assembly1,FailureA,10:08:15.4643,10:29:59.4336,1:00:00.0000,2,5,0
*.Models.Model.Assembly4,FailureA,10:24:12.6169,10:56:00.8267,14:53.4160,2,2,0
*.Models.Model.Assembly4,FailureA,11:11:06.2571,11:36:38.7187,8:39.6404,1,4,0
*.Models.Model.Assembly4,FailureA,11:45:23.2405,12:31:31.0975,14:14.6077,1,1,0
*.Models.Model.Assembly4,FailureA,12:45:59.5346,13:04:16.4990,46:07.7704,2,3,0
*.Models.Model.Assembly3,FailureA,13:14:17.6260,13:30:43.3086,1:07:14.7619,2,1,0
*.Models.Model.Assembly4,FailureA,14:09:17.6715,14:36:44.1983,1:43:02.2432,2,5,0
*.Models.Model.Assembly3,FailureA,15:40:02.4202,16:18:36.1158,2:52:08.6778,1,5,0
*.Models.Model.Assembly1,FailureA,17:07:13.1044,17:46:59.5192,1:00:00.0000,2,1,0
*.Models.Model.Assembly1,FailureA,18:15:41.5140,18:45:14.9616,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,18:59:12.8983,19:14:59.0918,6:00.5422,1,2,0
*.Models.Model.Assembly4,FailureA,19:21:06.4136,20:00:13.6315,5:42.3708,1,6,1
*.Models.Model.Assembly1,FailureA,19:35:12.2008,20:39:44.3343,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,20:05:57.6294,21:06:53.2588,9:33.9722,1,1,0
*.Models.Model.Assembly1,FailureA,20:44:02.5237,21:26:30.4381,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,21:16:33.8751,21:46:53.7363,50:34.0008,2,5,0
*.Models.Model.Assembly1,FailureA,21:29:28.8161,22:19:12.6542,1:00:00.0000,2,2,0
*.Models.Model.Assembly1,FailureA,22:22:44.8259,23:33:07.8601,1:00:00.0000,2,2,0
*.Models.Model.Assembly3,FailureA,22:22:41.3044,1:00:00:34.8220,49.8088,1,4,0
*.Models.Model.Assembly1,FailureA,23:39:45.3975,1:00:20:38.6005,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,1:00:01:24.6308,1:00:59:49.6420,12:46.2393,2,4,0
*.Models.Model.Assembly3,FailureA,1:01:12:39.1355,1:02:06:55.6637,52:59.2496,2,4,0
*.Models.Model.Assembly1,FailureA,1:01:49:46.6352,1:02:36:27.9931,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,1:02:53:33.8709,1:03:33:53.8648,21:02.8504,1,2,0
*.Models.Model.Assembly1,FailureA,1:03:04:34.0803,1:04:14:39.9147,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,1:03:00:17.9418,1:04:54:17.2125,1:24:37.0590,1,6,1
*.Models.Model.Assembly1,FailureA,1:05:06:04.0214,1:05:34:32.3593,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,1:05:41:17.4481,1:06:42:17.1180,1:00:00.0000,2,3,0
*.Models.Model.Assembly4,FailureA,1:06:26:11.6621,1:07:12:05.5914,20:09.9259,1,1,0
*.Models.Model.Assembly1,FailureA,1:06:46:12.5966,1:07:52:18.0053,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,1:07:32:56.4645,1:08:15:20.9883,18:51.8684,2,5,0
*.Models.Model.Assembly3,FailureA,1:08:31:07.9913,1:08:46:48.4609,22:57.5059,2,3,0
*.Models.Model.Assembly4,FailureA,1:08:34:22.6194,1:09:13:46.9657,1:19.0164,1,5,0
*.Models.Model.Assembly4,FailureA,1:09:15:05.9821,1:10:13:16.4696,1:55:29.4391,1,3,0
*.Models.Model.Assembly1,FailureA,1:09:57:49.1067,1:10:39:25.0935,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,1:11:35:01.7745,1:12:00:23.8480,1:04:01.2132,1,6,1
*.Models.Model.Assembly1,FailureA,1:12:39:00.9883,1:13:14:51.6876,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,1:13:04:46.7516,1:13:41:23.9053,49:24.2263,1,5,0
*.Models.Model.Assembly1,FailureA,1:13:25:56.9138,1:14:15:35.1880,1:00:00.0000,2,5,0
*.Models.Model.Assembly1,FailureA,1:14:39:46.8799,1:14:58:35.2167,1:00:00.0000,2,5,0
